First_name;Last_Name;Nationality;Country_of_Residence;date_of_birth;Unique_Trader_id;Amount;currency;unique_Stock_ID;Buy_or_Sell
Santosh;Kumar;IN;IN;30-11-1990;ZE001;10000;RUPEE;ITC4321;BUY
Dinesh;Kumar;IN;IN;30-11-1990;ZE002;10000;RUPEE;BEL123;SELL
Kartil;Kumar;IN;IN;30-11-1990;ZE003;10000;RUPEE;SAIL;SELL
Naman;Kumar;IN;IN;30-11-1990;ZE004;100.00;RUPEE;IOCL;BUY
Indar;Kumar;IN;IN;30-11-1990;ZE005;10000;RUPEE;BPCL;SELL
Santosh;Kumar;IN;IN;30-11-1990;ZE001;10000;RUPEE;ITC4321;BUY
Santosh;Kumar;IN;IN;30-11-1990;ZE001;10000;RUPEE;ITC4321;BUY
Santosh;Kumar;IN;IN;30-11-1990;ZE001;10000;RUPEE;ITC4321;BUY
Santosh;Kumar;IN;IN;30-11-1990;ZE001;10000;RUPEE;ITC4321;BUY
Santosh;Kumar;IN;IN;30-11-1990;ZE001;10000;RUPEE;ITC4321;BUY
Santosh;Kumar;IN;IN;30-11-1990;ZE001;10000;RUPEE;ITC4321;BUY
Santosh;Kumar;IN;IN;30-11-1990;ZE001;10000;RUPEE;ITC4321;BUY
Indar;Kumar;IN;IN;30-11-1990;ZE005;10000;RUPEE;BPCL;BUY
Indar;Kumar;IN;IN;30-11-1990;ZE005;10000;RUPEE;BPCL;SELL
Indar;Kumar;IN;IN;30-11-1990;ZE005;10000;RUPEE;BPCL;BUY
Indar;Kumar;IN;IN;30-11-1990;ZE005;10000;RUPEE;BPCL;BUY
Indar;Kumar;IN;IN;30-11-1990;ZE005;10000;RUPEE;BPCL;SELL
Indar;Kumar;IN;IN;30-11-1990;ZE005;10000;RUPEE;BPCL;SELL

